name	name_fr	item_type	cpv_code	cpv_label	cpv_label_fr	canonical_unit	sector	sector_name	monitoring_tier	identifier_type	identifier_value	issuer
Business desktop computer	Ordinateur de bureau	good	30213300	Desktop computer	Ordinateur de bureau	each	it_digital	IT and digital services	web_price
24-inch business display monitor	Écrans de visualisation	good	30231300	Display screens	Écrans de visualisation	each	it_digital	IT and digital services	web_price
Network laser printer	Imprimantes laser	good	30232110	Laser printers	Imprimantes laser	each	it_digital	IT and digital services	web_price
Colour inkjet printer	Imprimantes à jet d'encre	good	30232150	Inkjet printers	Imprimantes à jet d'encre	each	it_digital	IT and digital services	web_price
Business network switch	Matériel de réseau	good	32420000	Network equipment	Matériel de réseau	each	it_digital	IT and digital services	web_price
Office VoIP telephone	Matériel téléphonique	good	32550000	Telephone equipment	Matériel téléphonique	each	it_digital	IT and digital services	web_price
Business software licence	Logiciels et systèmes d'information	good	48000000	Software package and information systems	Logiciels et systèmes d'information	year	it_digital	IT and digital services	web_price
Software support services	Services d'assistance relative aux logiciels	service	72261000	Software support services	Services d'assistance relative aux logiciels	hour	it_digital	IT and digital services	quote_based
Hourly technical computer support	Support informatique technique à l’heure	service	72611000	Technical computer support services	Services d'assistance technique informatique	hour	it_digital	IT and digital services	quote_based
Business internet connection	Services internet	service	72400000	Internet services	Services internet	month	it_digital	IT and digital services	web_price
Information technology consulting	Services de technologies de l'information	service	72222300	Information technology services	Services de technologies de l'information	hour	it_digital	IT and digital services	quote_based
Computer equipment maintenance	Maintenance et réparation de matériel informatique	service	50312000	Maintenance and repair of computer equipment	Maintenance et réparation de matériel informatique	hour	it_digital	IT and digital services	quote_based
Endpoint antivirus licence	Logiciels antivirus	good	48761000	Anti-virus software package	Logiciels antivirus	year	it_digital	IT and digital services	web_price
General office supplies basket	Fournitures de bureau	good	30192000	Office supplies	Fournitures de bureau	pack	office_admin	Office and administration	web_price
A4 80 gsm office copy paper, 500 sheets	Papier de bureau A4 80 g/m², 500 feuilles	good	30197630	Printing paper	Papier d'impression	pack	office_admin	Office and administration	web_price
Standard black toner cartridge	Cartouches de toner	good	30125100	Toner cartridges	Cartouches de toner	each	office_admin	Office and administration	web_price
HP 207A black toner cartridge W2210A	Cartouche de toner noir HP 207A W2210A	good	30125110	Toner for laser printers/fax machines	Encre pour imprimantes laser/télécopieurs	each	office_admin	Office and administration	web_price	sku	W2210A	HP
Photocopier toner cartridge	Encre pour photocopieurs	good	30125120	Toner for photocopiers	Encre pour photocopieurs	each	office_admin	Office and administration	web_price
Ballpoint pen box	Stylos à bille	good	30192121	Ballpoint pens	Stylos à bille	pack	office_admin	Office and administration	web_price
General stationery basket	Papeterie	good	30192700	Stationery	Papeterie	pack	office_admin	Office and administration	web_price
Archive box and letter tray set	Boîtes-classeurs, classe-lettres, boîtes de rangement et articles similaires	good	30199500	Box files, letter trays, storage boxes and similar articles	Boîtes-classeurs, classe-lettres, boîtes de rangement et articles similaires	pack	office_admin	Office and administration	web_price
Office equipment bundle	Équipement de bureau, excepté les meubles	good	30191000	Office equipment except furniture	Équipement de bureau, excepté les meubles	each	office_admin	Office and administration	web_price
Ergonomic office desk and chair set	Mobilier de bureau	good	39130000	Office furniture	Mobilier de bureau	set	office_admin	Office and administration	web_price
Compact passenger car	Voitures particulières	good	34110000	Passenger cars	Voitures particulières	each	fleet_transport	Fleet and transport	web_price
Light commercial van	Fourgons intégrés	good	34136000	Vans	Fourgons intégrés	each	fleet_transport	Fleet and transport	web_price
Municipal road sweeper vehicle	Balayeuses	good	34144430	Road-sweeping vehicles	Balayeuses	each	fleet_transport	Fleet and transport	quote_based
Municipal firefighting vehicle	Véhicules de lutte contre l'incendie	good	34144210	Firefighting vehicles	Véhicules de lutte contre l'incendie	each	fleet_transport	Fleet and transport	tender_benchmark
Commercial vehicle tyre	Pneus pour charges légères et lourdes	good	34350000	Tyres for heavy/light-duty vehicles	Pneus pour charges légères et lourdes	each	fleet_transport	Fleet and transport	web_price
